,between_days,c_recordOnDays,c_uniqueUnitID,deployDate,deploymentDepth_Meters,dutyCycle_Flag,latitudeDeployed_DecDeg,longitudeDeployed_DecDeg,recoveryDate,samplingRate_Hz,ones,depYear
113,2011-04-24,71.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-17,37.2,N,41.9412,-70.288,2011-05-08,5000.0,1.0,2011.0
114,2011-04-25,71.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-17,37.2,N,41.9412,-70.288,2011-05-08,5000.0,1.0,2011.0
115,2011-04-26,71.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-17,37.2,N,41.9412,-70.288,2011-05-08,5000.0,1.0,2011.0
116,2011-04-27,71.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-17,37.2,N,41.9412,-70.288,2011-05-08,5000.0,1.0,2011.0
117,2011-04-28,71.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-17,37.2,N,41.9412,-70.288,2011-05-08,5000.0,1.0,2011.0
118,2011-04-29,71.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-17,37.2,N,41.9412,-70.288,2011-05-08,5000.0,1.0,2011.0
119,2011-04-30,71.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-17,37.2,N,41.9412,-70.288,2011-05-08,5000.0,1.0,2011.0
120,2011-05-01,71.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-17,37.2,N,41.9412,-70.288,2011-05-08,5000.0,1.0,2011.0
121,2011-05-02,71.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-17,37.2,N,41.9412,-70.288,2011-05-08,5000.0,1.0,2011.0
122,2011-05-03,71.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-17,37.2,N,41.9412,-70.288,2011-05-08,5000.0,1.0,2011.0
123,2011-05-04,71.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-17,37.2,N,41.9412,-70.288,2011-05-08,5000.0,1.0,2011.0
124,2011-05-05,71.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-17,37.2,N,41.9412,-70.288,2011-05-08,5000.0,1.0,2011.0
125,2011-05-06,71.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-17,37.2,N,41.9412,-70.288,2011-05-08,5000.0,1.0,2011.0
126,2011-05-07,71.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-17,37.2,N,41.9412,-70.288,2011-05-08,5000.0,1.0,2011.0
127,2011-05-08,71.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-17,37.2,N,41.9412,-70.288,2011-05-08,5000.0,1.0,2011.0
128,2011-05-09,,,,,,,,,,,
129,2011-05-10,,,,,,,,,,,
130,2011-05-11,,,,,,,,,,,
131,2011-05-12,,,,,,,,,,,
132,2011-05-13,,,,,,,,,,,
133,2011-05-14,,,,,,,,,,,
134,2011-05-15,,,,,,,,,,,
135,2011-05-16,,,,,,,,,,,
136,2011-05-17,,,,,,,,,,,
137,2011-05-18,,,,,,,,,,,
138,2011-05-19,,,,,,,,,,,
139,2011-05-20,,,,,,,,,,,
140,2011-05-21,,,,,,,,,,,
141,2011-05-22,,,,,,,,,,,
142,2011-05-23,,,,,,,,,,,
143,2011-05-24,,,,,,,,,,,
144,2011-05-25,,,,,,,,,,,
145,2011-05-26,,,,,,,,,,,
146,2011-05-27,,,,,,,,,,,
147,2011-05-28,,,,,,,,,,,
148,2011-05-29,,,,,,,,,,,
149,2011-05-30,,,,,,,,,,,
150,2011-05-31,,,,,,,,,,,
151,2011-06-01,,,,,,,,,,,
152,2011-06-02,,,,,,,,,,,
153,2011-06-03,,,,,,,,,,,
154,2011-06-04,,,,,,,,,,,
155,2011-06-05,,,,,,,,,,,
156,2011-06-06,,,,,,,,,,,
157,2011-06-07,,,,,,,,,,,
158,2011-06-08,,,,,,,,,,,
159,2011-06-09,,,,,,,,,,,
160,2011-06-10,,,,,,,,,,,
161,2011-06-11,,,,,,,,,,,
162,2011-06-12,,,,,,,,,,,
163,2011-06-13,,,,,,,,,,,
164,2011-06-14,,,,,,,,,,,
165,2011-06-15,,,,,,,,,,,
166,2011-06-16,,,,,,,,,,,
167,2011-06-17,,,,,,,,,,,
168,2011-06-18,,,,,,,,,,,
169,2011-06-19,,,,,,,,,,,
170,2011-06-20,,,,,,,,,,,
171,2011-06-21,,,,,,,,,,,
172,2011-06-22,,,,,,,,,,,
173,2011-06-23,,,,,,,,,,,
174,2011-06-24,,,,,,,,,,,
175,2011-06-25,,,,,,,,,,,
176,2011-06-26,,,,,,,,,,,
177,2011-06-27,,,,,,,,,,,
178,2011-06-28,,,,,,,,,,,
179,2011-06-29,,,,,,,,,,,
180,2011-06-30,,,,,,,,,,,
181,2011-07-01,,,,,,,,,,,
182,2011-07-02,,,,,,,,,,,
183,2011-07-03,,,,,,,,,,,
184,2011-07-04,,,,,,,,,,,
185,2011-07-05,,,,,,,,,,,
186,2011-07-06,,,,,,,,,,,
187,2011-07-07,,,,,,,,,,,
188,2011-07-08,,,,,,,,,,,
189,2011-07-09,,,,,,,,,,,
190,2011-07-10,,,,,,,,,,,
191,2011-07-11,,,,,,,,,,,
192,2011-07-12,,,,,,,,,,,
193,2011-07-13,,,,,,,,,,,
194,2011-07-14,,,,,,,,,,,
195,2011-07-15,,,,,,,,,,,
196,2011-07-16,,,,,,,,,,,
197,2011-07-17,,,,,,,,,,,
198,2011-07-18,,,,,,,,,,,
199,2011-07-19,,,,,,,,,,,
200,2011-07-20,,,,,,,,,,,
201,2011-07-21,,,,,,,,,,,
202,2011-07-22,,,,,,,,,,,
203,2011-07-23,,,,,,,,,,,
204,2011-07-24,,,,,,,,,,,
205,2011-07-25,,,,,,,,,,,
206,2011-07-26,,,,,,,,,,,
207,2011-07-27,,,,,,,,,,,
208,2011-07-28,,,,,,,,,,,
209,2011-07-29,,,,,,,,,,,
210,2011-07-30,,,,,,,,,,,
211,2011-07-31,,,,,,,,,,,
212,2011-08-01,,,,,,,,,,,
213,2011-08-02,,,,,,,,,,,
214,2011-08-03,,,,,,,,,,,
215,2011-08-04,,,,,,,,,,,
216,2011-08-05,,,,,,,,,,,
217,2011-08-06,,,,,,,,,,,
218,2011-08-07,,,,,,,,,,,
219,2011-08-08,,,,,,,,,,,
220,2011-08-09,,,,,,,,,,,
221,2011-08-10,,,,,,,,,,,
222,2011-08-11,,,,,,,,,,,
223,2011-08-12,,,,,,,,,,,
224,2011-08-13,,,,,,,,,,,
225,2011-08-14,,,,,,,,,,,
226,2011-08-15,,,,,,,,,,,
227,2011-08-16,,,,,,,,,,,
228,2011-08-17,,,,,,,,,,,
229,2011-08-18,,,,,,,,,,,
230,2011-08-19,,,,,,,,,,,
231,2011-08-20,,,,,,,,,,,
232,2011-08-21,,,,,,,,,,,
233,2011-08-22,,,,,,,,,,,
234,2011-08-23,,,,,,,,,,,
235,2011-08-24,,,,,,,,,,,
236,2011-08-25,,,,,,,,,,,
237,2011-08-26,,,,,,,,,,,
238,2011-08-27,,,,,,,,,,,
239,2011-08-28,,,,,,,,,,,
240,2011-08-29,,,,,,,,,,,
241,2011-08-30,,,,,,,,,,,
242,2011-08-31,,,,,,,,,,,
243,2011-09-01,,,,,,,,,,,
244,2011-09-02,,,,,,,,,,,
245,2011-09-03,,,,,,,,,,,
246,2011-09-04,,,,,,,,,,,
247,2011-09-05,,,,,,,,,,,
248,2011-09-06,,,,,,,,,,,
249,2011-09-07,,,,,,,,,,,
250,2011-09-08,,,,,,,,,,,
251,2011-09-09,,,,,,,,,,,
252,2011-09-10,,,,,,,,,,,
253,2011-09-11,,,,,,,,,,,
254,2011-09-12,,,,,,,,,,,
255,2011-09-13,,,,,,,,,,,
256,2011-09-14,,,,,,,,,,,
257,2011-09-15,,,,,,,,,,,
258,2011-09-16,,,,,,,,,,,
259,2011-09-17,,,,,,,,,,,
260,2011-09-18,,,,,,,,,,,
261,2011-09-19,,,,,,,,,,,
262,2011-09-20,,,,,,,,,,,
263,2011-09-21,,,,,,,,,,,
264,2011-09-22,,,,,,,,,,,
265,2011-09-23,,,,,,,,,,,
266,2011-09-24,,,,,,,,,,,
267,2011-09-25,,,,,,,,,,,
