,between_days,c_recordOnDays,c_uniqueUnitID,deployDate,deploymentDepth_Meters,dutyCycle_Flag,latitudeDeployed_DecDeg,longitudeDeployed_DecDeg,recoveryDate,samplingRate_Hz
56,2011-02-18,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,2011-02-17,30.5,N,41.8771,-70.254,2011-05-08,5000.0
57,2011-02-18,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,2011-02-17,30.9,N,41.8948,-70.4439,2011-05-08,5000.0
58,2011-02-18,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,2011-02-17,32.1,N,41.9334,-70.1859,2011-05-08,5000.0
59,2011-02-18,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,2011-02-17,42.1,N,41.9508,-70.3901,2011-05-08,5000.0
60,2011-02-18,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,2011-02-17,36.4,N,41.9711,-70.4765,2011-05-08,5000.0
61,2011-02-18,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,2011-02-17,40.5,N,41.9931,-70.2201,2011-05-08,5000.0
62,2011-02-18,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,2011-02-17,31.0,N,41.8762,-70.3412,2011-05-08,5000.0
63,2011-02-19,71.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-17,37.2,N,41.9412,-70.288,2011-05-08,5000.0
64,2011-02-19,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,2011-02-17,30.5,N,41.8771,-70.254,2011-05-08,5000.0
65,2011-02-19,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,2011-02-17,30.9,N,41.8948,-70.4439,2011-05-08,5000.0
66,2011-02-19,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,2011-02-17,32.1,N,41.9334,-70.1859,2011-05-08,5000.0
67,2011-02-19,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,2011-02-17,42.1,N,41.9508,-70.3901,2011-05-08,5000.0
68,2011-02-19,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,2011-02-17,36.4,N,41.9711,-70.4765,2011-05-08,5000.0
69,2011-02-19,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,2011-02-17,40.5,N,41.9931,-70.2201,2011-05-08,5000.0
70,2011-02-19,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,2011-02-17,31.0,N,41.8762,-70.3412,2011-05-08,5000.0
71,2011-02-20,71.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-17,37.2,N,41.9412,-70.288,2011-05-08,5000.0
72,2011-02-20,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,2011-02-17,30.5,N,41.8771,-70.254,2011-05-08,5000.0
73,2011-02-20,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,2011-02-17,30.9,N,41.8948,-70.4439,2011-05-08,5000.0
74,2011-02-20,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,2011-02-17,32.1,N,41.9334,-70.1859,2011-05-08,5000.0
75,2011-02-20,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,2011-02-17,42.1,N,41.9508,-70.3901,2011-05-08,5000.0
76,2011-02-20,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,2011-02-17,36.4,N,41.9711,-70.4765,2011-05-08,5000.0
77,2011-02-20,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,2011-02-17,40.5,N,41.9931,-70.2201,2011-05-08,5000.0
78,2011-02-20,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,2011-02-17,31.0,N,41.8762,-70.3412,2011-05-08,5000.0
79,2011-02-21,71.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-17,37.2,N,41.9412,-70.288,2011-05-08,5000.0
80,2011-02-21,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,2011-02-17,30.5,N,41.8771,-70.254,2011-05-08,5000.0
81,2011-02-21,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,2011-02-17,30.9,N,41.8948,-70.4439,2011-05-08,5000.0
82,2011-02-21,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,2011-02-17,32.1,N,41.9334,-70.1859,2011-05-08,5000.0
83,2011-02-21,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,2011-02-17,42.1,N,41.9508,-70.3901,2011-05-08,5000.0
84,2011-02-21,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,2011-02-17,36.4,N,41.9711,-70.4765,2011-05-08,5000.0
85,2011-02-21,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,2011-02-17,40.5,N,41.9931,-70.2201,2011-05-08,5000.0
86,2011-02-21,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,2011-02-17,31.0,N,41.8762,-70.3412,2011-05-08,5000.0
87,2011-02-22,71.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-17,37.2,N,41.9412,-70.288,2011-05-08,5000.0
88,2011-02-22,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,2011-02-17,30.5,N,41.8771,-70.254,2011-05-08,5000.0
89,2011-02-22,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,2011-02-17,30.9,N,41.8948,-70.4439,2011-05-08,5000.0
90,2011-02-22,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,2011-02-17,32.1,N,41.9334,-70.1859,2011-05-08,5000.0
91,2011-02-22,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,2011-02-17,42.1,N,41.9508,-70.3901,2011-05-08,5000.0
92,2011-02-22,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,2011-02-17,36.4,N,41.9711,-70.4765,2011-05-08,5000.0
93,2011-02-22,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,2011-02-17,40.5,N,41.9931,-70.2201,2011-05-08,5000.0
94,2011-02-22,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,2011-02-17,31.0,N,41.8762,-70.3412,2011-05-08,5000.0
95,2011-02-23,71.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-17,37.2,N,41.9412,-70.288,2011-05-08,5000.0
96,2011-02-23,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,2011-02-17,30.5,N,41.8771,-70.254,2011-05-08,5000.0
97,2011-02-23,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,2011-02-17,30.9,N,41.8948,-70.4439,2011-05-08,5000.0
98,2011-02-23,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,2011-02-17,32.1,N,41.9334,-70.1859,2011-05-08,5000.0
99,2011-02-23,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,2011-02-17,42.1,N,41.9508,-70.3901,2011-05-08,5000.0
100,2011-02-23,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,2011-02-17,36.4,N,41.9711,-70.4765,2011-05-08,5000.0
101,2011-02-23,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,2011-02-17,40.5,N,41.9931,-70.2201,2011-05-08,5000.0
102,2011-02-23,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,2011-02-17,31.0,N,41.8762,-70.3412,2011-05-08,5000.0
103,2011-02-24,71.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-17,37.2,N,41.9412,-70.288,2011-05-08,5000.0
104,2011-02-24,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,2011-02-17,30.5,N,41.8771,-70.254,2011-05-08,5000.0
105,2011-02-24,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,2011-02-17,30.9,N,41.8948,-70.4439,2011-05-08,5000.0
106,2011-02-24,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,2011-02-17,32.1,N,41.9334,-70.1859,2011-05-08,5000.0
107,2011-02-24,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,2011-02-17,42.1,N,41.9508,-70.3901,2011-05-08,5000.0
108,2011-02-24,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,2011-02-17,36.4,N,41.9711,-70.4765,2011-05-08,5000.0
109,2011-02-24,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,2011-02-17,40.5,N,41.9931,-70.2201,2011-05-08,5000.0
110,2011-02-24,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,2011-02-17,31.0,N,41.8762,-70.3412,2011-05-08,5000.0
111,2011-02-25,71.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-17,37.2,N,41.9412,-70.288,2011-05-08,5000.0
112,2011-02-25,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,2011-02-17,30.5,N,41.8771,-70.254,2011-05-08,5000.0
113,2011-02-25,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,2011-02-17,30.9,N,41.8948,-70.4439,2011-05-08,5000.0
114,2011-02-25,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,2011-02-17,32.1,N,41.9334,-70.1859,2011-05-08,5000.0
115,2011-02-25,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,2011-02-17,42.1,N,41.9508,-70.3901,2011-05-08,5000.0
116,2011-02-25,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,2011-02-17,36.4,N,41.9711,-70.4765,2011-05-08,5000.0
117,2011-02-25,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,2011-02-17,40.5,N,41.9931,-70.2201,2011-05-08,5000.0
118,2011-02-25,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,2011-02-17,31.0,N,41.8762,-70.3412,2011-05-08,5000.0
119,2011-02-26,71.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-17,37.2,N,41.9412,-70.288,2011-05-08,5000.0
120,2011-02-26,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,2011-02-17,30.5,N,41.8771,-70.254,2011-05-08,5000.0
121,2011-02-26,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,2011-02-17,30.9,N,41.8948,-70.4439,2011-05-08,5000.0
122,2011-02-26,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,2011-02-17,32.1,N,41.9334,-70.1859,2011-05-08,5000.0
123,2011-02-26,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,2011-02-17,42.1,N,41.9508,-70.3901,2011-05-08,5000.0
124,2011-02-26,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,2011-02-17,36.4,N,41.9711,-70.4765,2011-05-08,5000.0
125,2011-02-26,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,2011-02-17,40.5,N,41.9931,-70.2201,2011-05-08,5000.0
126,2011-02-26,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,2011-02-17,31.0,N,41.8762,-70.3412,2011-05-08,5000.0
127,2011-02-27,71.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-17,37.2,N,41.9412,-70.288,2011-05-08,5000.0
128,2011-02-27,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,2011-02-17,30.5,N,41.8771,-70.254,2011-05-08,5000.0
129,2011-02-27,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,2011-02-17,30.9,N,41.8948,-70.4439,2011-05-08,5000.0
130,2011-02-27,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,2011-02-17,32.1,N,41.9334,-70.1859,2011-05-08,5000.0
131,2011-02-27,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,2011-02-17,42.1,N,41.9508,-70.3901,2011-05-08,5000.0
132,2011-02-27,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,2011-02-17,36.4,N,41.9711,-70.4765,2011-05-08,5000.0
133,2011-02-27,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,2011-02-17,40.5,N,41.9931,-70.2201,2011-05-08,5000.0
134,2011-02-27,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,2011-02-17,31.0,N,41.8762,-70.3412,2011-05-08,5000.0
135,2011-02-28,71.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-17,37.2,N,41.9412,-70.288,2011-05-08,5000.0
136,2011-02-28,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,2011-02-17,30.5,N,41.8771,-70.254,2011-05-08,5000.0
137,2011-02-28,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,2011-02-17,30.9,N,41.8948,-70.4439,2011-05-08,5000.0
138,2011-02-28,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,2011-02-17,32.1,N,41.9334,-70.1859,2011-05-08,5000.0
139,2011-02-28,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,2011-02-17,42.1,N,41.9508,-70.3901,2011-05-08,5000.0
140,2011-02-28,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,2011-02-17,36.4,N,41.9711,-70.4765,2011-05-08,5000.0
141,2011-02-28,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,2011-02-17,40.5,N,41.9931,-70.2201,2011-05-08,5000.0
142,2011-02-28,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,2011-02-17,31.0,N,41.8762,-70.3412,2011-05-08,5000.0
